stage,blocking,mean_gap,median_gap,n_transitions
Apprentice work,AOI2_A17,0.5491176428571456,0.2001989999999978,70
Apprentice work,AOI2_A23,0.29140076666666914,0.13346599999999853,30
Apprentice work,AOI2_A31,0.2471592592592618,0.06673200000000179,108
Apprentice work,AOI2_A35,0.20939180612245134,0.06673299999999927,98
Apprentice work,AOI2_A43,0.21271134375000145,0.10009900000000016,64
Apprentice work,AOI2_A51,0.4852049166666698,0.13346599999999853,24
Expert work,AOI3_E10,0.1900318222222217,0.03353500000000054,45
Expert work,AOI3_E12,0.08310852173913041,0.03353500000000054,23
Expert work,AOI3_E20,0.23197368595043177,0.03353500000002896,121
Expert work,AOI3_E22,0.1478025185185343,0.03353500000002896,27
Expert work,AOI3_E26,0.15295246341465493,0.03353500000002896,41
Expert work,AOI3_E8,0.3306435438596494,0.06707000000000107,57
Apprentice assist,A1-A2,0.23968857377049188,0.06691499999999984,61
Apprentice assist,A15-A23,1.0860186486486534,0.2342040000000054,37
Apprentice assist,A2,0.3078107200000001,0.03345799999999599,25
Apprentice assist,A24-A27,0.8769438947368438,0.3680339999999944,19
Apprentice assist,A29,0.4653659545454577,0.0669149999999945,22
Apprentice assist,A33,0.17257115789473987,0.03345700000002694,38
Apprentice assist,A4,0.19173811538461402,0.08364350000000087,26
